AŠ@c@90 numbers
1/3(aš@c@90)	F₁	𒑝	1/3(aš@c) 1/3(aš@c@90) 1/3(diš@c)
2/3(aš@c@90)	F₂	𒑞	2/3(aš@c) 2/3(aš@c@90) 2/3(diš@c)
1(aš@c@90)	DIŠ@c	𒕙	1/2(aš@c@90) 1(aš@c@90) 1(barig@c) 1(bariga@c) 1(diš@c) 1/2(iku@c)
2(aš@c@90)	NIGIDAMIN@c	𒕚	
3(aš@c@90)	NIGIDAEŠ@c	𒕛	3(aš@c@90) 3(barig@c) 3(bariga@c) 3(diš@c)
4(aš@c@90)	4(DIŠ@c)	𒕜	4(aš@c@90) 4(barig@c) 4(bariga@c) 4(diš@c)
5(aš@c@90)	5(DIŠ@c)	𒕝	5(aš@c@90) 5(barig@c) 5(bariga@c) 5(diš@c)
6(aš@c@90)	6(DIŠ@c)	𒕞	6(aš@c@90) 6(barig@c) 6(bariga@c) 6(diš@c)
7(aš@c@90)	7(DIŠ@c)	𒕟	7(aš@c@90) 7(barig@c) 7(bariga@c) 7(diš@c)
8(aš@c@90)	8(DIŠ@c)	𒕠	8(aš@c@90) 8(diš@c)
9(aš@c@90)	9(DIŠ@c)	𒕡	9(aš@c@90) 9(diš@c)
