AŠ@c numbers
1/4(aš@c)	F₄@c@v	𒖊	1/4(aš@c) 1/4(iku@c@v)
1/4(aš@c)~a	F₁₀		1/4(aš@c)~a
1/3(aš@c)	F₁	𒑝	1/3(aš@c) 1/3(aš@c@90) 1/3(diš@c)
1/2(aš@c)	1(BAN₂@c)	𒖓	1/2(aš@c) 1(ban₂@c) 1/4(diš@c) 1/2(diš@c)
2/3(aš@c)	F₂	𒑞	2/3(aš@c) 2/3(aš@c@90) 2/3(diš@c)
1(aš@c)	AŠ@c	𒕐	1(aš@c) 1(iku@c)
1(aš@c~a)	AŠ@v	󰀉	1(aš@c~a)
2(AŠ@c)	2(AŠ@c)	𒕑	2(aš@c) 2(iku@c)
3(AŠ@c)	3(AŠ@c)	𒕒	3(aš@c) 3(iku@c)
4(aš@c)	4(AŠ@c)	𒕓	4(aš@c) 4(iku@c)
5(AŠ@c)	5(AŠ@c)	𒕔	5(aš@c) 5(iku@c)
6(AŠ@c)	6(AŠ@c)	𒕕	6(aš@c) 6(iku@c)
7(AŠ@c)	7(AŠ@c)	𒕖	7(aš@c) 7(iku@c)
7(AŠ@c)@l	7(AŠ@c)@l	󰀊	
8(AŠ@c)	8(AŠ@c)	𒕗	8(aš@c)
9(AŠ@c)	9(AŠ@c)	𒕘	9(aš@c)
