AŠ numbers
1/3(aš)	ŠUŠANA	𒑚	1/3(aš) 1/3(diš) 1/3(iku)
1/2(aš)	1(BAN₂)	𒑏	1/2(aš) 1(ban₂)
2/3(aš)	ŠANABI	𒑛	2/3(aš) 2/3(diš)
5/6(aš)	KINGUSILI	𒑜	5/6(aš) 5/6(diš)
1(aš)	AŠ	𒀸	1(aš) 1(iku)
2(AŠ)	2(AŠ)	𒐀	2(aš) 2(iku)
3(AŠ)	3(AŠ)	𒐁	3(aš) 3(iku)
3(aš)@v	3(AŠ~b)	𒐻	3(aš)@v
3(aš~a)	|AŠ&AŠ&AŠ|	𒀼	3(aš~a) 3(aš@v)
4(AŠ)	4(AŠ)	𒐂	4(aš) 4(iku)
4(AŠ~a)	4(AŠ~a)	𒐽	4(aš@v)
5(AŠ)	5(AŠ)	𒐃	5(aš) 5(iku)
5(aš~a)	I	𒄿	5(aš~a) 5(aš@v)
6(AŠ)	6(AŠ)	𒐄	6(aš) 6(iku)
6(AŠ~a)	6(AŠ~a)	𒑀	6(aš@v)
7(AŠ)	7(AŠ)	𒐅	7(aš) 7(iku)
7(AŠ~a)	7(AŠ~a)	𒑁	7(aš@v)
8(AŠ)	8(AŠ)	𒐆	8(aš)
8(aš~a)	USSU₃	𒑅	8(aš~a) 8(aš@v)
9(AŠ)	9(AŠ)	𒐇	9(aš)
9(aš~a)	ILIMMU₃	𒑇	9(aš~a)
