DIŠ numbers
N/3(DIŠ)	N/3(DIŠ)		n/3(diš)
1/6(diš)	F₅	𒑡	1/6(diš)
1/6(diš)@v	1/4(GUR)	𒑣	1(barig@v) 1(bariga)@v 1/6(diš)@v 1/2(iku@t)
1/4(diš)	F₆	𒑢	1/4(diš)
1/3(diš)	ŠUŠANA	𒑚	1/3(aš) 1/3(diš) 1/3(iku)
1/3(DIŠ)~e	1/3(DIŠ)~e	𒑥	
1/2(diš)	MAŠ	𒈦	1/2(diš)
1/2(diš)@v	BAR	𒁇	1/2(diš)@v
2/3(diš)	ŠANABI	𒑛	2/3(aš) 2/3(diš)
2/3(diš)~a	ŠANABI@v	󰀖	2/3(diš)~a 2/3(diš@v)
2/3(DIŠ)~e	2/3(DIŠ)~e	𒑦	
5/6(diš)	KINGUSILI	𒑜	5/6(aš) 5/6(diš)
1(diš)	DIŠ	𒁹	6(ban₂) 1(barig) 1(bariga) 1(diš)
2(diš)	MIN	𒈫	2(diš)
3(DIŠ)	3(DIŠ)	𒐈	3(diš)
3(DIŠ)~a	3(DIŠ)~a	󰁂	3(diš)~a
4(DIŠ)	4(DIŠ)	𒐉	4(barig) 4(bariga) 4(diš)
4(diš)~a	LIMMU~a	𒐾	4(diš)~a 4(diš@v)
4(diš)~b	LIMMU~b	𒐿	4(diš)~b 4(diš@v)~b
4(diš)@v	LIMMU	𒐼	4(diš)@v
5(DIŠ)	5(DIŠ)	𒐊	5(diš)
6(DIŠ)	6(DIŠ)	𒐋	6(diš)
7(DIŠ)	7(DIŠ)	𒐌	7(diš)
7(DIŠ)~a	7(DIŠ)~a	𒑂	7(diš)@v
7(diš)@v~b	7(DIŠ)~b	𒑃	7(diš)@v~b
8(DIŠ)	8(DIŠ)	𒐍	8(diš)
8(diš)@v	USSU	𒑄	
9(DIŠ)	9(DIŠ)	𒐎	9(diš)
9(diš)~a	ILIMMU	𒑆	9(diš)~a
9(diš)@v	9(DIŠ~b)	𒑈	9(diš)@v
9(DIŠ~c)	9(DIŠ~c)	𒑉	9(diš@v)
